,Location,Latitude,Longitude
0,Agam,-0.2547205,100.17003113862154
1,AldineTX,29.899876900000002,-95.33736829765041
2,AliceSprings,-23.6983884,133.8812885
3,Altzomoni,19.1205485,-98.6533287
4,ArlingtonTX,32.7355816,-97.1071186
5,Athens-NOA,33.9597677,-83.376398
6,AtlantaGA-Conyers,33.7489924,-84.3902644
7,AtlantaGA-GATech,33.7489924,-84.3902644
8,AtlantaGA-SouthDeKalb,33.7489924,-84.3902644
9,AtlantaGA,33.7489924,-84.3902644
10,AustinTX,30.2711286,-97.7436995
11,Bandung,-6.9215529,107.6110212
12,Bangkok,13.7524938,100.4935089
13,Banting,2.8027574,101.4956767
14,BayonneNJ,43.4945144,-1.4736657
15,Beijing-RADI,40.190632,116.412144
16,BeltsvilleMD,39.039773499999995,-76.92718505662606
17,Berlin,52.510885,13.3989367
18,BlueHillMA,54.84360015,-3.8927216783020464
19,BostonMA,42.3554334,-71.060511
20,BoulderCO-NCAR,40.0149856,-105.270545
21,BoulderCO,40.0149856,-105.270545
22,Bremen,53.0758196,8.8071646
23,BristolPA,51.4538022,-2.5972985
24,BronxNY,40.8466508,-73.8785937
25,Brussels-Uccle,50.8035441,4.3338445
26,Bucharest,44.4361414,26.1027202
27,BuenosAires,-34.6083696,-58.4440583
28,BuffaloNY,42.8867166,-78.8783922
29,Busan,35.1799528,129.0752365
30,Cabauw,51.9642565,4.897778
31,Calakmul,18.486203,-89.65757126562062
32,CambridgeBay,69.1178442,-105.0603881
33,CambridgeMA,42.3656347,-71.1040018
34,CameronLA,29.888055,-93.1843025
35,CapeElizabethME,43.5931434,-70.2289333
36,Cebu,10.47,123.83
37,ChapelHillNC,35.9131542,-79.05578
38,CharlesCityVA,37.3705777,-77.0605098
39,ChelseaMA,42.3912241,-71.0369301
40,ChiangMai,18.7882778,98.9858802
41,ChicagoIL,41.8755616,-87.6244212
42,Cologne,43.7218277,0.9774958
43,ComodoroRivadavia,-45.8632024,-67.4752615
44,Cordoba,37.8845813,-4.7760138
45,CornwallCT,41.8437058,-73.3292848
46,CorpusChristiTX,27.7635302,-97.4033191
47,Daegu,35.8713,128.6018
48,Dalanzadgad,43.5717042,104.4259502
49,Davos,46.796198,9.8236892
50,DearbornMI,42.3222599,-83.1763145
51,DeBilt,52.1445592,5.173777333788463
52,Dhaka,23.7544529,90.393336
53,Downsview,43.7492988,-79.462248
54,EastProvidenceRI,41.8194081,-71.376257
55,EdwardsCA,45.3228512,-75.4661296
56,Egbert,38.7597654,-91.6335039
57,EssexMD,39.301058999999995,-76.44248693849093
58,Eureka-0PAL,40.7906871,-124.1673746
59,Eureka-PEARL,40.7906871,-124.1673746
60,FairbanksAK,64.837845,-147.716675
61,Fajardo,18.3278026,-65.65618322074886
62,FortMcKay,57.1825744,-111.6378436
63,FortYatesND,46.086941,-100.630127
64,Fukuoka,33.6251241,130.6180016
65,Gongju-KNU,36.47257,127.09124
66,Granada,37.1734995,-3.5995337
67,GrandForksND,47.9252104,-97.0306325
